Order,PID,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Utilities,Land_Slope,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_SF_1,BsmtFin_Type_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Val,Mo_Sold,Year_Sold,Longitude,Latitude,MS_SubClass_One_Story_1945_and_Older,MS_SubClass_One_Story_1946_and_Newer_All_Styles,MS_SubClass_One_Story_PUD_1946_and_Newer,MS_SubClass_One_and_Half_Story_Finished_All_Ages,MS_SubClass_Other,MS_SubClass_Split_Foyer,MS_SubClass_Split_or_Multilevel,MS_SubClass_Two_Family_conversion_All_Styles_and_Ages,MS_SubClass_Two_Story_1945_and_Older,MS_SubClass_Two_Story_1946_and_Newer,MS_SubClass_Two_Story_PUD_1946_and_Newer,MS_Zoning_Other,MS_Zoning_Residential_Low_Density,MS_Zoning_Residential_Medium_Density,Street_Pave,Alley_No_Alley_Access,Alley_Paved,Lot_Config_CulDSac,Lot_Config_FR2,Lot_Config_Inside,Lot_Config_Other,Neighborhood_Brookside,Neighborhood_Clear_Creek,Neighborhood_College_Creek,Neighborhood_Crawford,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Iowa_DOT_and_Rail_Road,Neighborhood_Meadow_Village,Neighborhood_Mitchell,Neighborhood_North_Ames,Neighborhood_Northridge,Neighborhood_Northridge_Heights,Neighborhood_Northwest_Ames,Neighborhood_Old_Town,Neighborhood_Other,Neighborhood_Sawyer,Neighborhood_Sawyer_West,Neighborhood_Somerset,Neighborhood_South_and_West_of_Iowa_State_University,Neighborhood_Stone_Brook,Neighborhood_Timberland,Condition_1_Feedr,Condition_1_Norm,Condition_1_Other,Condition_1_PosN,Condition_1_RRAn,Condition_2_Other,Bldg_Type_OneFam,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,Bldg_Type_TwoFmCon,House_Style_One_and_Half_Fin,House_Style_Other,House_Style_SFoyer,House_Style_SLvl,House_Style_Two_Story,Roof_Style_Hip,Roof_Style_Other,Roof_Matl_Other,Exterior_1st_BrkFace,Exterior_1st_CemntBd,Exterior_1st_HdBoard,Exterior_1st_MetalSd,Exterior_1st_Other,Exterior_1st_Plywood,Exterior_1st_Stucco,Exterior_1st_VinylSd,Exterior_1st_Wd Sdng,Exterior_1st_WdShing,Exterior_2nd_BrkFace,Exterior_2nd_CmentBd,Exterior_2nd_HdBoard,Exterior_2nd_MetalSd,Exterior_2nd_Other,Exterior_2nd_Plywood,Exterior_2nd_Stucco,Exterior_2nd_VinylSd,Exterior_2nd_Wd Sdng,Exterior_2nd_Wd Shng,Mas_Vnr_Type_BrkFace,Mas_Vnr_Type_Other,Mas_Vnr_Type_Stone,Mas_Vnr_Type_nan,Foundation_CBlock,Foundation_Other,Foundation_PConc,Foundation_Slab,BsmtFin_Type_1_BLQ,BsmtFin_Type_1_GLQ,BsmtFin_Type_1_LwQ,BsmtFin_Type_1_No_Basement,BsmtFin_Type_1_Rec,BsmtFin_Type_1_Unf,BsmtFin_SF_2_Other,Heating_Other,Central_Air_Y,Garage_Type_Basment,Garage_Type_BuiltIn,Garage_Type_Detchd,Garage_Type_No_Garage,Garage_Type_Other,Misc_Feature_Other,Misc_Feature_Othr,Misc_Feature_Shed,Misc_Feature_nan,Sale_Type_New,Sale_Type_Other,Sale_Type_WD ,Sale_Condition_Family,Sale_Condition_Normal,Sale_Condition_Other,Sale_Condition_Partial
735,903226170,50,6000,3.0,3.0,2.0,2.0,5.0,8.0,1937,2000,0,2.0,2.0,2.0,2.0,1.0,7,1.0,698,698,2.0,3.0,786,390,0,1176,0,0,1,0,2,1,2.0,4,3.0,0,0.0,1.0,2,624,3.0,3.0,0.0,210,0,0,0,0,0,0.0,0.0,0,7,2009,-93.624567,42.033616,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
2570,535150240,75,9000,3.0,3.0,2.0,2.0,4.0,4.0,1954,1954,0,1.0,2.0,2.0,2.0,1.0,4,1.0,124,936,2.0,3.0,1128,0,0,1128,0,0,1,0,2,1,2.0,5,1.0,0,0.0,1.0,1,286,3.0,3.0,2.0,0,0,0,0,0,0,0.0,4.0,0,6,2006,-93.6181153,42.0422973,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1641,527252070,60,8089,3.0,2.0,2.0,2.0,7.0,5.0,2007,2007,0,2.0,2.0,3.0,2.0,3.0,3,1.0,474,1419,4.0,3.0,1419,0,0,1419,1,0,2,0,2,1,3.0,7,3.0,1,4.0,2.0,2,567,3.0,3.0,2.0,140,0,0,0,0,0,0.0,0.0,0,10,2007,-93.630074,42.058893,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2631,535477060,69,7590,3.0,3.0,2.0,2.0,5.0,4.0,1966,1966,266,1.0,2.0,2.0,2.0,1.0,2,1.0,148,660,2.0,3.0,660,688,0,1348,0,0,1,1,3,1,2.0,6,3.0,1,2.0,2.0,2,453,3.0,3.0,2.0,188,108,0,0,0,0,0.0,0.0,0,7,2006,-93.603704,42.036792,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1882,534275170,0,12772,2.0,3.0,2.0,2.0,5.0,7.0,1960,1998,0,1.0,3.0,2.0,2.0,2.0,2,1.0,460,958,2.0,3.0,958,0,0,958,0,0,1,0,2,1,2.0,5,3.0,0,0.0,2.0,1,301,3.0,3.0,2.0,0,0,0,0,0,0,0.0,0.0,15500,4,2007,-93.623636,42.042124,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
505,528390100,52,46589,1.0,3.0,2.0,2.0,7.0,6.0,1994,2005,528,2.0,2.0,3.0,3.0,1.0,3,3.0,88,1629,4.0,3.0,1686,762,0,2448,1,0,2,1,4,1,3.0,8,3.0,1,3.0,2.0,3,711,3.0,3.0,2.0,517,76,0,0,0,0,0.0,0.0,0,7,2009,-93.650529,42.049921,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
405,527451320,21,1680,3.0,3.0,2.0,2.0,4.0,4.0,1971,1971,142,1.0,2.0,2.0,2.0,1.0,7,1.0,630,630,2.0,3.0,630,672,0,1302,0,0,2,1,3,1,2.0,6,3.0,0,0.0,1.0,1,280,3.0,3.0,2.0,0,0,0,0,0,0,0.0,0.0,0,5,2009,-93.627565,42.051683,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1410,905427070,120,13728,3.0,3.0,2.0,2.0,5.0,6.0,1935,1986,0,1.0,2.0,2.0,2.0,1.0,6,1.0,501,1127,4.0,3.0,1236,872,0,2108,0,0,2,0,4,1,3.0,7,3.0,2,3.0,1.0,2,540,3.0,3.0,2.0,0,0,0,0,90,0,0.0,0.0,0,7,2008,-93.6608625,42.0280297,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1481,907420080,63,8199,3.0,3.0,2.0,2.0,6.0,4.0,2005,2005,0,2.0,2.0,3.0,2.0,3.0,3,1.0,80,728,4.0,3.0,728,728,0,1456,1,0,2,1,3,1,3.0,7,3.0,1,4.0,3.0,2,410,3.0,3.0,2.0,36,18,0,0,0,0,0.0,0.0,0,10,2008,-93.6838447,42.0138316,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
938,909475040,0,17597,3.0,1.0,2.0,2.0,6.0,8.0,1971,2009,0,2.0,3.0,3.0,2.0,1.0,3,5.0,581,1803,2.0,3.0,2365,0,0,2365,1,0,2,0,3,1,4.0,7,1.0,2,4.0,3.0,2,551,3.0,3.0,2.0,200,144,0,0,0,0,0.0,3.0,0,7,2009,-93.643539,42.01141,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1002,527140090,41,5395,2.0,2.0,2.0,2.0,7.0,4.0,1993,1993,0,2.0,2.0,3.0,2.0,1.0,3,1.0,604,1337,3.0,3.0,1337,0,0,1337,1,0,2,0,2,1,3.0,5,3.0,1,3.0,2.0,2,462,3.0,3.0,2.0,96,0,70,168,0,0,0.0,0.0,0,10,2008,-93.633905,42.060865,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
34,527453130,24,2280,3.0,3.0,2.0,2.0,5.0,5.0,1975,1975,0,1.0,2.0,2.0,2.0,1.0,1,1.0,341,855,2.0,3.0,855,601,0,1456,0,0,2,1,3,1,3.0,6,3.0,1,3.0,1.0,2,440,3.0,3.0,2.0,173,0,0,0,0,0,0.0,0.0,0,6,2010,-93.625924,42.050683,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2660,902325050,60,10800,3.0,3.0,2.0,2.0,6.0,6.0,1914,1970,0,1.0,2.0,3.0,2.0,2.0,6,1.0,490,880,1.0,3.0,880,888,0,1768,0,0,1,1,2,1,2.0,6,3.0,2,3.0,1.0,2,320,3.0,3.0,0.0,0,341,0,0,0,0,0.0,0.0,0,10,2006,-93.613889,42.029136,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1226,534477090,80,9600,3.0,3.0,2.0,2.0,4.0,7.0,1950,2006,0,1.0,3.0,2.0,2.0,1.0,2,3.0,232,572,3.0,3.0,1337,0,0,1337,1,0,1,0,3,1,3.0,7,3.0,1,4.0,2.0,1,264,3.0,3.0,2.0,0,192,0,0,0,0,0.0,0.0,0,9,2008,-93.622644,42.036102,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
